Bill Of Materials,,,,,,,,,,,
Source: bpf-L-band-BP0805.sch,oresat-c3-prototype,,P/DNP =,Place/Do Not Place (DNP is for final production boards),,,,,,,
Modified: 2019-11-25,,,Generic =,"Any generic part with the same characteristics are OK (e.g., bypass cap)",,,,,,,
Revision: 1,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Cnt,Status,Part References,P/DNP,Mfg,Mfg PN,Description,Distributor,Dist. PN,Generic,Notes,URL
5,,"C1,4,5,10,20",P,Yageo,CC0603JRX7R6BB105,"1uF Ceramic Cap, 0603,  5%, 10V",Digikey,311-3484-2-ND,Y,,
9,,"C2,3,6,8,9,13,15,17,22",P,Yageo,CC0402JRX7R6BB104,"0.1uF Ceramic Cap, 0402,  5%, 10V",Digikey,311-3757-2-ND,Y,,
1,,C7,P,Samsung,CL21X106KPYNNNE,"10uF ceramic cap, 0805, 10%, 10V",Digikey,1276-3025-2-ND,Y,,
1,,C12,P,Murata,GRM21BC81A226ME44L,"22uF ceramic cap, 0805, 20%, 10V",Digikey,490-14657-2-ND,Y,,
2,,"C11, C16",P,Yageo,CC0402JRNPO9BN200,"20pF ceramic cap, 0402, 20%, 6.3V",Digikey,311-1417-1-ND,Y,,
1,,C14,P,Murata,GRM188C81C225KA12D,"2.2uF ceramic cap, 0603, 10%, 16V",Digikey,490-11993-1-ND,Y,,
1,,C18,P,Taiyo Yuden,LMK316BC6476ML-T,"47uF ceramic cap, 1206, 20%, 10",Digikey,587-6459-1-ND,Y,,
3,,"D1,D2,D5",P,SunLED,XZVG68W-2,"Green LED, 0402, 2.1Vf, 20mA",Digikey,1497-1219-1-ND,Y,,
1,,D3,P,Inolux,IN-S42BTR,"Red LED, 0402, 2.1Vf, 20mA",Digikey,1830-IN-S42BCT-ND,Y,,
1,,D4,P,Inolux,IN-S42BT5A,"Amber LED, 0402, 2Vf, 5mA",Digikey,1830-IN-S42BT5ACT-ND,Y,,
1,,D7,P,Diodes Incorporated,1N4148WS-7-F,"1N4148 Diode, SOD-323, 1.25 Vf, 150mA",Digikey,1N4148WS-FDICT-ND,Y,,
1,,J6,P,Samtec Inc.,TFM-120-01-H-D-RA,"Connector Header Through Hole, Right Angle 40 position 0.050"" (1.27mm)",Digikey,TFM-120-01-H-D-RA-ND,N,,
2,,J7,P,Samtec Inc.,FTSH-105-01-F-DV-K,"SMT Microheader, 2x5, 0.050"" (1.27mm), unshrouded",Digikey,SAM8796-ND,Y,,
4,,"J9,10,11,12",P,Harwin Inc.,M50-3500842,"Connector Header Through Hole 16 position 0.050"" (1.27mm)",Digikey,952-1385-ND,N,,
1,,L2,P,ECS Inc.,ECS-MPI4040R4-6R8-R,"6.8uH Inductor, SMD, 20%, 2.4A, 3.2A sat",Digikey,XC2337CT-ND,N,,
4,,"R1,2,3,4",P,Panasonic,ERJ-2RKF2701X,"2.7k Resistor, 0402, 1%, 0.1W",Digikey,P2.70KLCT-ND,Y,,
1,,R5,P,Panasonic,ERJ-2RKF3162X,"31.6k Resistor, 0402, 1%, 0.1W",Digikey,P31.6KLCT-ND,Y,,
1,,R6,P,Panasonic,ERJ-2RKF3091X,"3.09k Resistor, 0402, 1%, 0.1W",Digikey,P3.09KLCT-ND,Y,,
8,,"R7,9,16,17,18,20,24,27",P,Panasonic,ERJ-2RKF1002X,"10k Resistor, 0402, 1%, 0.1W",Digikey,P10.0KLCT-ND,Y,,
3,,"R8,11,13",P,Panasonic,ERJ-2RKF4701X,"4.7k Resistor, 0402, 1%, 0.1W",Digikey,P4.70KLCT-ND,Y,,
2,,"R10,12",P,Panasonic,ERJ-3GEY0R00V,"0 ohm Resistor, 0603, 1%, 0.1W",Digikey,P0.0GCT-ND,Y,,
1,,R19,P,Panasonic,ERJ-2RKF10R0X,"10 Resistor, 0402, 1%, 0.1W",Digikey,P10.0LCT-ND,Y,,
1,,R36,P,Panasonic,ERJ-2RKF2372X,"23.7k Resistor, 0402, 1%, 0.1W",Digikey,P23.7KLDKR-ND,Y,,
1,,Q1,P,STMicroelectronics,STT4P3LLH6,"P-Channel, SMD SOT-23-6, 30V 4A (Ta) 1.6W (Ta)",Digikey,497-15521-1-ND,Y,,
1,,U1,P,Maxim Integrated,MAX892LEUA+T,Power Switch/Driver 1:1 P-Channel 250mA 8-uMAX,Digikey,MAX892LEUA+T-ND,N,,
2,,"U2,U3",P,Texas Instruments,TCAN330DCNR,1/1 Transceiver CANbus SOT-23-8,Digikey,296-46215-1-ND,N,,
1,,U4,P,Texas Instruments,TPS259621DDAT,Electronic Fuse Regulator 2A 8-SO PowerPad,Digikey,296-TPS259621DDATCT-ND,N,,
1,,U5,P,Texas Instruments,TPS62111RSAR,Buck Switching Regulator IC Positive Fixed 3.3V 1 Output 1.5A 16-VQFN Exposed Pad,Digikey,296-37681-1-ND,N,,
1,,U6,P,Maxim Integrated,MAX6373KA+T,Supervisor Open Drain or Open Collector 1 Channel SOT-23-8,Digikey,MAX6373KA+TCT-ND,N,,
1,,U7,P,STMicroelectronics,STM32F446RET6,ARM® Cortex®-M4 STM32F4 Microcontroller IC 32-Bit 180MHz 512KB (512K x 8) FLASH 64-LQFP (10x10),Digikey,497-15376-ND,N,,
1,,X1,P,ECS Inc.,ECS-160-10-36Q-ES-TR,"16MHz ±30ppm Crystal 10pF 80 Ohms 4-SMD, No Lead",Digikey,XC2181CT-ND,N,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Revision History,,,,,,,,,,,
,,,,,,,,,,,
Rev,Date,Notes,,,,,,,,,
1,2019-11-22,Initial BOM.,,,,,,,,,
,x,Assembled 1x board,,,,,,,,,
,x,Assembled 1x board,,,,,,,,,
